,Symbols,Company,Sector
424,ANSM,Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ],Sugar & allied industries
425,BAFS,Baba Faried Sugar Mills Ltd.,Sugar & allied industries
426,CHAS,Chashma Sugar Mills Ltd.,Sugar & allied industries
427,DWSM,Dewan Sugar Mills Ltd. [ DEFAULTER SEGMENT ],Sugar & allied industries
428,FRSM,Faran Sugar Mills Ltd.,Sugar & allied industries
429,HABSM,Habib Sugar Mills Ltd.,Sugar & allied industries
430,HRPL,Habib Rice Product Ltd.,Sugar & allied industries
431,HSM,Husein Sugar Mills Limited.,Sugar & allied industries
432,HSMCPS,Husein Sugar Mills Limited.(Pref-Shar),Sugar & allied industries
433,HWQS,Haseeb Waqas Sugar Mills Limit [ DEFAULTER SEGMENT ],Sugar & allied industries
434,JDWS,J. D. W. Sugar Mills Ltd.,Sugar & allied industries
435,JSML,Jauharabad Sugar Mills Ltd.,Sugar & allied industries
436,KPUS,Khairpur Sugar Mills Ltd.,Sugar & allied industries
437,MIRKS,Mirpurkhas Sugar Mills Ltd.,Sugar & allied industries
438,MRNS,Mehran Sugar Mills Ltd.,Sugar & allied industries
439,NONS,Noon Sugar Mills Ltd.,Sugar & allied industries
440,PMRS,Premier Sugar Mills & Distille,Sugar & allied industries
441,SANSM,Sanghar Sugar Mills Ltd.,Sugar & allied industries
442,SASML,Sindh Abadgars Sugar Mills Ltd.,Sugar & allied industries
443,SHJS,Shahtaj Sugar Mills Ltd.,Sugar & allied industries
444,SHSML,Shahmurad Sugar Mills Ltd.,Sugar & allied industries
445,SKRS,Sakrand Sugar Mills Ltd. [ DEFAULTER SEGMENT ],Sugar & allied industries
446,SML,Shakarganj Limited.,Sugar & allied industries
447,TICL,Thal Industries Corporation Ltd.,Sugar & allied industries
448,TSML,Tandliawala Sugar Mills Ltd.,Sugar & allied industries
449,AASM,Al-Abid Silk Mills Limited. [ DEFAULTER SEGMENT ],Synthetic & rayon
450,DSFL,Dewan Sulman Fibre Ltd. [ DEFAULTER SEGMENT ],Synthetic & rayon
451,GATI,Gatron (Industries) Ltd.,Synthetic & rayon
452,IBFL,Ibrahim Fibre Limited.,Synthetic & rayon
453,IMAGE,Image Pakistan Limited,Synthetic & rayon
454,NAFL,National Fibres Ltd. [ DEFAULTER SEGMENT ],Synthetic & rayon
455,NSRM,The National Silk & Rayon Mills Ltd.,Synthetic & rayon
456,PSYL,Pakistan Synthetics Ltd.,Synthetic & rayon
457,RUPL,Rupali Polyester Ltd.,Synthetic & rayon
458,SGABL,S.G. Allied Businesses Limited,Synthetic & rayon
459,AIRLINK,Air Link Communication Limited,Technology & communication
460,AVN,Avanceon Limited.,Technology & communication
461,HCL,Hallmark Company Limited.,Technology & communication
462,HUMNL,Hum Network Limited.,Technology & communication
463,MDTL,Media Times Limited.,Technology & communication
464,NETSOL,NetSol Technologies Ltd.,Technology & communication
465,OCTOPUS,Octopus Digital Limited,Technology & communication
466,PAKD,Pak Datacom Limited.,Technology & communication
467,PTC,Pakistan Telecommunication Co.,Technology & communication
468,SYS,Systems Limited.(XD)(XB),Technology & communication
469,TELE,Telecard Ltd.,Technology & communication
470,TPL,TPL CORP Limited.,Technology & communication
471,TPLT,TPL Trakker Limited.,Technology & communication
472,TRG,TRG Pakistan Ltd.,Technology & communication
473,WTL,Worldcall Telecom Ltd.,Technology & communication
474,ADMM,Artistic Denim Mills Limited.,Textile composite
475,AHTM,Ahmed Hassan Textile Mills Ltd.,Textile composite
476,ANL,Azgard Nine Limited.,Textile composite
477,ANLNV,Azgard Nine. (Non-Voting).,Textile composite
478,ANLNVR,Azgard Nine. (Non-Voting).(R),Textile composite
479,ANLPS,Azgard Nine (Pref),Textile composite
480,ANLR,Azgard Nine Limited.(R),Textile composite
481,ANTM,AN Textile Mills Ltd.,Textile composite
482,ARUJ,Aruj Industries Limited.,Textile composite
483,BHAT,Bhanero Textile Mills Ltd.,Textile composite
484,BTL,Blessed Textile Ltd.,Textile composite
485,CHBL,Chenab Limited [ DEFAULTER SEGMENT ],Textile composite
486,CLCPS,Chenab Limited Preference Shares. [ DEFAULTER SEGMENT ],Textile composite
487,CRTM,Crescent Textile Mills Ltd.,Textile composite
488,FASM,Faisal Spinning Mills Ltd.,Textile composite
489,FML,Feroze1888 Mills Ltd.,Textile composite
490,FSWL,Fateh Sports Wear Ltd. [ DEFAULTER SEGMENT ],Textile composite
491,FTHM,Fateh Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile composite
492,FZCM,Fazal Cloth Mills Ltd.,Textile composite
493,GATM,Gul Ahmed Textile Mills Ltd.,Textile composite
494,GFIL,Ghazi Fabrics International Ltd.,Textile composite
495,HAEL,Hala Enterprises Limited,Textile composite
496,HAFL,Hafiz Limited.,Textile composite
497,HATM,Hamid Textile Mills Limited [ DEFAULTER SEGMENT ],Textile composite
498,HUSI,Husein Industries,Textile composite
499,ILP,Interloop Limited.,Textile composite
500,INKL,International Knitwear Ltd.,Textile composite
501,JUBS,Jubilee Spinning & Weaving Mil [ DEFAULTER SEGMENT ],Textile composite
502,KAKL,Kaisar Arts & Krafts Ltd. [ DEFAULTER SEGMENT ],Textile composite
503,KHYT,Khyber Textile Mills Ltd.,Textile composite
504,KML,Kohinoor Mills Ltd.,Textile composite
505,KOIL,Kohinoor Industries Ltd.,Textile composite
506,KTML,Kohinoor Textile Mills Ltd.,Textile composite
507,MEHT,Mehmood Textile Mills Ltd.,Textile composite
508,MFTM,Mohammed Farooq Textile Mills [ DEFAULTER SEGMENT ],Textile composite
509,MSOT,Masood Textile Mills Ltd.,Textile composite
510,MSOTPS,Masood Textile Mills Ltd.(PS).,Textile composite
511,MUBT,Mubarak Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile composite
512,NCL,Nishat (Chunia) Ltd.,Textile composite
513,NINA,M/S Nina Industries Ltd. [ DEFAULTER SEGMENT ],Textile composite
514,NML,Nishat Mills Ltd.,Textile composite
515,PASM,Paramount Spinning Mills. [ DEFAULTER SEGMENT ],Textile composite
516,QUET,Quetta Textile Mills Ltd.,Textile composite
517,REDCO,Redco Textile Ltd.,Textile composite
518,REWM,Reliance Weaving Mills Ltd.,Textile composite
519,SAPT,Sapphire Textile Mills Ltd.,Textile composite
520,SCHT,Schon Textile Ltd. [ DEFAULTER SEGMENT ],Textile composite
521,SFAT,Safa Textiles Ltd. [ DEFAULTER SEGMENT ],Textile composite
522,SFL,Sapphire Fibres Mills Ltd.,Textile composite
523,STML,Shams Textile Mills Ltd.,Textile composite
524,SURC,Suraj Cotton Mills Ltd.,Textile composite
525,TAJT,Taj Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile composite
526,TOWL,Towellers Ltd.,Textile composite
527,USMT,Usman Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile composite
528,ZAHID,Zahidjee Textile Mills Ltd.,Textile composite
529,ZHCM,Zahur Cotton Mills [ DEFAULTER SEGMENT ],Textile composite
530,AAL,Agro Allianz limited.,Textile spinning
531,AATM,Ali Asghar Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
532,AMTEX,Amtex Limited. [ DEFAULTER SEGMENT ],Textile spinning
533,ANNT,Annor Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
534,APOT,Apollo Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
535,ASTM,Asim Textile Mills Ltd.,Textile spinning
536,AWTX,Allawasaya Tex. & Finishing Mills.,Textile spinning
537,AZMT,Azmat Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
538,BCML,Babri Cotton Mills Ltd.,Textile spinning
539,BILF,Bilal Fibres Ltd. [ DEFAULTER SEGMENT ],Textile spinning
540,CCM,Crescent Cotton Mills Limited.,Textile spinning
541,CFL,Crescent Fibres Limited.,Textile spinning
542,CTM,Colony Textile Mills Ltd.,Textile spinning
543,CWSM,Chakwal Spinning Mills Limited. [ DEFAULTER SEGMENT ],Textile spinning
544,DATM,Data Textile Ltd. [ DEFAULTER SEGMENT ],Textile spinning
545,DFSM,Dewan Farooque Spinning Mills Ltd.,Textile spinning
546,DINT,Din Textile Mills Ltd.,Textile spinning
547,DKTM,Dewan Khalid Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
548,DMTM,Dewan Mushtaq Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
549,DMTX,D. M. Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
550,DSIL,D. S. Industries Ltd.,Textile spinning
551,DSML,Dar-es-Salam Textile Mills Ltd [ DEFAULTER SEGMENT ],Textile spinning
552,DWTM,Dewan Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
553,ELCM,Elahi Cotton Mills Ltd.,Textile spinning
554,ELSM,Ellcot Spinning Mills Ltd.,Textile spinning
555,FAEL,Fatima Enterprises Ltd. [ DEFAULTER SEGMENT ],Textile spinning
556,GADT,Gadoon Textile Mills Ltd.,Textile spinning
557,GLOT,Globe Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
558,GSPM,Gulshan Spinning Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
559,GUSM,Gulistan Spinning Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
560,GUTM,Gulistan Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
561,HAJT,Hajra Textile Milla Ltd. [ DEFAULTER SEGMENT ],Textile spinning
562,HIRAT,Hira Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
563,HMIM,Haji Mohammed Ismail Mills Lim [ DEFAULTER SEGMENT ],Textile spinning
564,IDRT,Idrees Textile Mills Ltd.,Textile spinning
565,IDSM,Ideal Spinning Mills Ltd.,Textile spinning
566,IDYM,Indus Dyeing & Manufacturing.,Textile spinning
567,JATM,J. A. Textile Mills Ltd.,Textile spinning
568,JDMT,Janana De Malucha Tex Mills.,Textile spinning
569,JKSM,J. K. Spinning Mills Ltd.,Textile spinning
570,KHSM,Khurshid Spinning Mills Ltd.,Textile spinning
571,KOHTM,Kohat Textile Mills Ltd.,Textile spinning
572,KOSM,Kohinoor Spinning Mills Ltd.,Textile spinning
573,KSTM,Khalid Siraj Textile Mills Ltd [ DEFAULTER SEGMENT ],Textile spinning
574,LMSM,Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ],Textile spinning
575,MQTM,Maqbool Textile Mills Ltd.,Textile spinning
576,NAGC,Nagina Cotton Mills Ltd.,Textile spinning
577,NATM,Nadeem Textile Mills Ltd.,Textile spinning
578,NCML,Nazir Cotton Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
579,PRET,Premium Textile Mills Ltd.,Textile spinning
580,RCML,Reliance Cotton Spinning Mills.,Textile spinning
581,RUBY,Ruby Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
582,SAIF,Saif Textile Mills Ltd.,Textile spinning
583,SANE,Salman Noman Enterprises Ltd. [ DEFAULTER SEGMENT ],Textile spinning
584,SERT,Service Textile Mills Ltd.,Textile spinning
585,SHCM,Shadman Cotton Mills Ltd.,Textile spinning
586,SHDT,Shadab Textile Mills Ltd.,Textile spinning
587,SLYT,Sally Textile Mills Ltd. [ DEFAULTER SEGMENT ],Textile spinning
588,SNAI,Sana Industries Ltd.,Textile spinning
589,SSML,Saritow Spinning Mills Ltd.,Textile spinning
590,SUTM,Sunrays Textile Mills Ltd.,Textile spinning
591,SZTM,Shahzad Textile Mills Ltd.,Textile spinning
592,TATM,Tata Textile Mills Ltd.,Textile spinning
593,ASHT,Ashfaq Textile Mills Ltd.,Textile weaving
594,HKKT,Hakkim Textile Mills Limited [ DEFAULTER SEGMENT ],Textile weaving
595,ICCI,ICC Industries Ltd. [ DEFAULTER SEGMENT ],Textile weaving
596,MOHE,Mohib Exports Ltd. [ DEFAULTER SEGMENT ],Textile weaving
597,PRWM,Prosperity Weaving Mills Ltd.,Textile weaving
598,SDOT,Sadoon Textile Industries Ltd. [ DEFAULTER SEGMENT ],Textile weaving
599,SMTM,Samin Textiles Ltd.,Textile weaving
600,STJT,Shahtaj Textile Ltd.,Textile weaving
601,YOUW,Yousuf Weaving Mills Limited.,Textile weaving
602,ZTL,Zephyr Textile Limited.,Textile weaving
603,KHTC,Khyber Tobacco Co. Ltd.,Tobacco
604,PAKT,Pakistan Tobacco Co Ltd. (XD),Tobacco
605,PMPK,Philip Morris (Pakistan)Ltd.,Tobacco
606,CLVL,Cordoba Logistics & Ventures Limited,Transport
607,GEMUNSL,Universal Network Systems Limited,Transport
608,PIAA,Pak International Airline Corp Ltd,Transport
609,PIAB,Pakistan International Airline Corp Ltd,Transport
610,PIBTL,Pakistan Intl. Bulk Terminal Ltd.,Transport
611,PICT,Pakistan Int.Container Terminal. (XD),Transport
612,PNSC,Pakistan National Shipping Co.,Transport
613,EXTR,Extraction (Pakistan) [ DEFAULTER SEGMENT ],Vanaspati & allied industries
614,POML,Punjab Oil Mills Ltd.,Vanaspati & allied industries
615,SSOM,S .S . Oil Mills Ltd.,Vanaspati & allied industries
616,SURAJ,Suraj Ghee Industries [ DEFAULTER SEGMENT ],Vanaspati & allied industries
617,BNWM,Bannu Woollen Mills Limited.,Woollen
