AGTL	Al-Ghazi Tractors Limited.
NRSL-MAR	Nimir Resins Limited.
OGDC-APR	Oil & Gas Development Company Ltd.
OGDC-APRB	Oil & Gas Development Company Ltd.
OGDC-JUN	Oil & Gas Development Company Ltd.
OGDC-MAR	Oil & Gas Development Company Ltd.
OGDC-MARB	Oil & Gas Development Company Ltd.
OGDC-MAY	Oil & Gas Development Company Ltd.
OGDC-OCT	Oil & Gas Development Company Ltd.
OGDC-OCTB	Oil & Gas Development Company Ltd.
PACE-APR	Pace (Pakistan) Ltd.
PACE-JUN	Pace (Pakistan) Ltd.
PACE-MAR	Pace (Pakistan) Ltd.
PACE-MAY	Pace (Pakistan) Ltd.
PACE-OCT	Pace (Pakistan) Ltd.
PACMF	Pakistan Cash Managment Fund
PAEL-APR	Pak Elektron Ltd.
PAEL-APRB	Pak Elektron Ltd.
PAEL-JUN	Pak Elektron Ltd.
PAEL-MAR	Pak Elektron Ltd.
PAEL-MARB	Pak Elektron Ltd.
PAEL-MAY	Pak Elektron Ltd.
PAEL-OCT	Pak Elektron Ltd.
PDRFO	Primus Daily Reserve Fund.
PIAA-APR	Pak International Airline Corp Ltd
PIAA-JUN	Pak International Airline Corp Ltd
PIAA-MAR	Pak International Airline Corp Ltd
PIAA-MAY	Pak International Airline Corp Ltd
PIB01M	PIB01M
PIB01M	PIB01M
PIB01W	PIB01W
PIB01W	PIB01W
PIB01Y	PIB01Y
PIB01Y	PIB01Y
PIB02M	PIB02M
PIB02M	PIB02M
PIB02W	PIB02W
PIB02W	PIB02W
PIB02Y	PIB02Y
PIB02Y	PIB02Y
PIB03M	PIB03M
PIB03M	PIB03M
PIB03Y	PIB03Y
PIB03Y	PIB03Y
PIB04M	PIB04M
PIB04M	PIB04M
PIB04Y	PIB04Y
PIB04Y	PIB04Y
PIB05Y	PIB05Y
PIB05Y	PIB05Y
PIB06M	PIB06M
PIB06M	PIB06M
PIB06Y	PIB06Y
PIB06Y	PIB06Y
PIB07Y	PIB07Y
PIB07Y	PIB07Y
PIB08Y	PIB08Y
PIB08Y	PIB08Y
PIB09M	PIB09M
PIB09M	PIB09M
PIB09Y	PIB09Y
PIB09Y	PIB09Y
PIB10Y	PIB10Y
PIB15Y	PIB15Y
PIB15Y	PIB15Y
PIB20Y	PIB20Y
PIB20Y	PIB20Y
PIB30Y	PIB30Y
PIB30Y	PIB30Y
PIBTL-APR	Pakistan Intl. Bulk Terminal Ltd.
PIBTL-JUN	Pakistan Intl. Bulk Terminal Ltd.
PIBTL-MAR	Pakistan Intl. Bulk Terminal Ltd.
PIBTL-MAY	Pakistan Intl. Bulk Terminal Ltd.
PIBTL-OCT	Pakistan Intl. Bulk Terminal Ltd.
PICICCFO	PICIC Cash Fund
PIOC-APR	Pioneer Cement Ltd.
PIOC-JUN	Pioneer Cement Ltd.
PIOC-MAR	Pioneer Cement Ltd.
PIOC-MAY	Pioneer Cement Ltd.
PIOC-OCT	Pioneer Cement Ltd.
POL-APR	Pakistan Oilfields Limited.
POL-APRB	Pakistan Oilfields Limited.
POL-JUN	Pakistan Oilfields Limited.
POL-MAR	Pakistan Oilfields Limited.
POL-MARB	Pakistan Oilfields Limited.
POL-MAY	Pakistan Oilfields Limited.
POWER-APR	Power cement Limited
POWER-JUN	Power cement Limited
POWER-MAR	Power cement Limited
POWER-MAY	Power cement Limited
POWER-OCT	Power cement Limited
PPL-APR	Pakistan Petroleum Limited.
PPL-APRB	Pakistan Petroleum Limited.
PPL-JUN	Pakistan Petroleum Limited.
PPL-MAR	Pakistan Petroleum Limited.
PPL-MARB	Pakistan Petroleum Limited.
PPL-MAY	Pakistan Petroleum Limited.
PPL-OCT	Pakistan Petroleum Limited.
PPL-OCTB	Pakistan Petroleum Limited.
PRL-APR	Pakistan Refinery Ltd.
PRL-JUN	Pakistan Refinery Ltd.
PRL-MAR	Pakistan Refinery Ltd.
PRL-MAY	Pakistan Refinery Ltd.
PRL-OCT	Pakistan Refinery Ltd.
PSMC-APR	Pak Suzuki Motors Co Ltd.
PSMC-APRB	Pak Suzuki Motors Co Ltd.
PSMC-JUN	Pak Suzuki Motors Co Ltd.
PSMC-MAR	Pak Suzuki Motors Co Ltd.
PSMC-MAY	Pak Suzuki Motors Co Ltd.
PSMC-MAYB	Pak Suzuki Motors Co Ltd.
PSMC-OCT	Pak Suzuki Motors Co Ltd.
PSO-APR	Pakistan State Oil Co Ltd.
PSO-JUN	Pakistan State Oil Co Ltd.
PSO-MAR	Pakistan State Oil Co Ltd.
PSO-MAY	Pakistan State Oil Co Ltd.
PSO-OCT	Pakistan State Oil Co Ltd.
PSO-OCTB	Pakistan State Oil Co Ltd.
PTC-APR	Pakistan Telecommunication Co.
PTC-JUN	Pakistan Telecommunication Co.
PTC-MAR	Pakistan Telecommunication Co.
PTC-MAY	Pakistan Telecommunication Co.
PTC-OCT	Pakistan Telecommunication Co.
QUICE-APR	Quice Food Industries Ltd.
QUICE-MAR	Quice Food Industries Ltd.
SAZEW-OCT	Sazgar Engineering Works Ltd.
SAZEW-OCTB	Sazgar Engineering Works Ltd.
SEARL-APR	The Searle Company Ltd.
SEARL-JUN	The Searle Company Ltd.
SEARL-MAR	The Searle Company Ltd.
SEARL-MAY	The Searle Company Ltd.
SEARL-OCT	The Searle Company Ltd.
SEARL-OCTB	The Searle Company Ltd.
SHEL-APR	Shell Pakistan Ltd.
SHEL-JUN	Shell Pakistan Ltd.
SHEL-MAR	Shell Pakistan Ltd.
SHEL-MAY	Shell Pakistan Ltd.
SILK-APR	Silk Bank Limited.
SILK-JUN	Silk Bank Limited.
SILK-MAR	Silk Bank Limited.
SILK-MAY	Silk Bank Limited.
SILK-OCT	Silk Bank Limited.
SMBL-APR	Summit Bank Limited.
SMBL-JUN	Summit Bank Limited.
SMBL-MAR	Summit Bank Limited.
SMBL-MAY	Summit Bank Limited.
SNBL-APR	Soneri Bank Ltd.
SNBL-APRB	Soneri Bank Ltd.
SNBL-MAR	Soneri Bank Ltd.
SNBL-MARB	Soneri Bank Ltd.
SNBL-OCT	Soneri Bank Ltd.
SNGP-APR	Sui Northern Gas Pipe Line Ltd.
SNGP-JUN	Sui Northern Gas Pipe Line Ltd.
SNGP-MAR	Sui Northern Gas Pipe Line Ltd.
SNGP-MAY	Sui Northern Gas Pipe Line Ltd.
SNGP-OCT	Sui Northern Gas Pipe Line Ltd.
SNGP-OCTB	Sui Northern Gas Pipe Line Ltd.
SSGC-APR	Sui Southern Gas Co Ltd.
SSGC-JUN	Sui Southern Gas Co Ltd.
SSGC-MAR	Sui Southern Gas Co Ltd.
SSGC-MAY	Sui Southern Gas Co Ltd.
SSGC-OCT	Sui Southern Gas Co Ltd.
STCL-OCT	Shabbir Tiles and Ceramics Limited.
STCL-OCTB	Shabbir Tiles and Ceramics Limited.
STPL-APR	Siddiqsons Tin Plate Ltd.
STPL-MAR	Siddiqsons Tin Plate Ltd.
STPL-OCT	Siddiqsons Tin Plate Ltd.
SYS-APR	Systems Limited.
SYS-APRB	Systems Limited.
SYS-JUN	Systems Limited.
SYS-MAR	Systems Limited.
SYS-MAY	Systems Limited.
SYS-MAYB	Systems Limited.
TBIL00010007	TBILL00010007
TBIL00010007	TBILL00010007
TBIL00080015	TBILL00080015
TBIL00080015	TBILL00080015
TBIL00160030	TBILL00160030
TBIL00160030	TBILL00160030
TBIL00310060	TBILL00310060
TBIL00310060	TBILL00310060
TBIL00610090	TBILL00610090
TBIL00610090	TBILL00610090
TBIL00910120	TBILL00910120
TBIL00910120	TBILL00910120
TBIL01210180	TBILL01210180
TBIL01210180	TBILL01210180
TBIL01810270	TBILL01810270
TBIL01810270	TBILL01810270
TBIL02710365	TBILL02710365
TBIL02710365	TBILL02710365
TELE-APR	Telecard Ltd.
TELE-JUN	Telecard Ltd.
TELE-MAR	Telecard Ltd.
TELE-MAY	Telecard Ltd.
TELE-OCT	Telecard Ltd.
TELE-OCTB	Telecard Ltd.
TGL-APR	Tariq Glass.
TGL-JUN	Tariq Glass.
TGL-MAR	Tariq Glass.
TGL-MAY	Tariq Glass.
TGL-OCT	Tariq Glass.
TGL-OCTB	Tariq Glass.
THALL-APR	Thal Limited.
THALL-APRB	Thal Limited.
THALL-JUN	Thal Limited.
THALL-MAR	Thal Limited.
THALL-MARB	Thal Limited.
THALL-MAY	Thal Limited.
TOMCL-APR	The Organic Meat Company Ltd.
TOMCL-MAR	The Organic Meat Company Ltd.
TOMCL-OCT	The Organic Meat Company Ltd.
TOMCL-OCTB	The Organic Meat Company Ltd.
TPL-APR	TPL CORP Limited.
TPL-JUN	TPL CORP Limited.
TPL-MAR	TPL CORP Limited.
TPL-MAY	TPL CORP Limited.
TPL-OCT	TPL CORP Limited.
TPLP-APR	TPL Properties Limited.
TPLP-APRB	TPL Properties Limited.
TPLP-JUN	TPL Properties Limited.
TPLP-MAR	TPL Properties Limited.
TPLP-MARB	TPL Properties Limited.
TPLP-MAY	TPL Properties Limited.
TPLP-MAYB	TPL Properties Limited.
TREET-APR	Treet Corporation Ltd.
TREET-JUN	Treet Corporation Ltd.
TREET-MAR	Treet Corporation Ltd.
TREET-MAY	Treet Corporation Ltd.
TREET-OCT	Treet Corporation Ltd.
TRG-APR	TRG Pakistan Ltd.
TRG-JUN	TRG Pakistan Ltd.
TRG-MAR	TRG Pakistan Ltd.
TRG-MAY	TRG Pakistan Ltd.
TRG-OCT	TRG Pakistan Ltd.
UBL-APR	United Bank Ltd.
UBL-APRB	United Bank Ltd.
UBL-JUN	United Bank Ltd.
UBL-MAR	United Bank Ltd.
UBL-MARB	United Bank Ltd.
UBL-MAY	United Bank Ltd.
UBL-OCT	United Bank Ltd.
UBL-OCTB	United Bank Ltd.
UBLGSFO	UBL Government Securities Fund
UBLISFO	UBL Islamic Sovereign Fund
UBLLPFO	UBL Liquidity Plus Fund
UBLMMF	UBL Money Market Fund
UBLPETF-APR	UBL Pakistan Enterprise ETF.
UBLPETF-JUN	UBL Pakistan Enterprise ETF.
UBLPETF-MAR	UBL Pakistan Enterprise ETF.
UBLPETF-MAY	UBL Pakistan Enterprise ETF.
UBLPETF-OCT	UBL Pakistan Enterprise ETF
UNITY-APR	Unity Foods Limited.
UNITY-JUN	Unity Foods Limited.
UNITY-MAR	Unity Foods Limited.
UNITY-MAY	Unity Foods Limited.
UNITY-OCT	Unity Foods Limited.
WAVES-APR	WAVES Singer Pakistan Ltd.
WAVES-JUN	WAVES Singer Pakistan Ltd.
WAVES-MAR	WAVES Singer Pakistan Ltd.
WAVES-MAY	WAVES Singer Pakistan Ltd.
WAVES-OCT	WAVES Singer Pakistan Ltd.
WTL-APR	Worldcall Telecom Ltd.
WTL-JUN	Worldcall Telecom Ltd.
WTL-MAR	Worldcall Telecom Ltd.
WTL-MAY	Worldcall Telecom Ltd.
WTL-OCT	Worldcall Telecom Ltd.
YOUW-APR	Yousuf Weaving Mills Limited.
YOUW-JUN	Yousuf Weaving Mills Limited.
YOUW-MAR	Yousuf Weaving Mills Limited.
YOUW-MAY	Yousuf Weaving Mills Limited.
BGL	Balochistan Glass Ltd.
FRCL	Frontier Ceramics Ltd.
GGGL	Ghani Global Glass Limited.
GHGL	Ghani Glass Ltd.
GHGLR2	Ghani Glass Ltd.(R2)
GVGL	Ghani Value Glass Limited.
GVGLR2	Ghani Value Glass Limited.(R2)
KCL	Karam Ceramics Mills Ltd.
REGAL	Regal Ceramics Ltd. [ DEFAULTER SEGMENT ]
STCL	Shabbir Tiles and Ceramics Limited.
TGL	Tariq Glass.
AGIC	Askari Gen Insurance Co.
AICL	Adamjee Insurance Co. Ltd.
ALAC	Askari Life Assurance Company Ltd.
ALIFE	Adamjee Life Assurance Co. Ltd.
ASIC	Asia Insurance Company Ltd.
ATIL	Atlas Insurance Limited. (XD)(XB)
BIIC	Business & Industrial Insuranc [ DEFAULTER SEGMENT ]
CENI	Century Insurance Co.Ltd.
CSIL	Cresent Star Insurance Ltd.
EFUG	E. F. U. Gen Insurance Ltd. (XD)
EFUL	EFU Life Assurance Ltd.
EWIC	East West Ins. Co. Ltd.
HICL	Habib Insurance Co Ltd. (XD)
IGIHL	IGI Holdings Limited.
IGIL	IGI Life Insurance Ltd.
IGILR	IGI Life Insurance Ltd.(R)
JGICL	Jubilee General Insurance Co.Ltd.
JLICL	Jubliee Life Insurance Co Ltd.
PAKRI	Pakistan Reinsurance Comp.
PIL	PICIC Insurance Ltd. [ DEFAULTER SEGMENT ]
PINL	Premier Insurance Limited.
PKGI	Pakistan General Insurance Co. [ DEFAULTER SEGMENT ]
PRIC	Progressive Insurance Co Ltd. [ DEFAULTER SEGMENT ]
RICL	Reliance Insurance.
SHNI	Shaheen Insurance Co Ltd.
SICL	Standard Insurance Co.Ltd [ DEFAULTER SEGMENT ]
SSIC	Silver Star Insurance Co. [ DEFAULTER SEGMENT ]
TPLI	TPL Insurance Ltd.
UNIC	United Insurance Company.
UVIC	Universal Insurance Company Ltd.
786	786 Investments Limited
AHL	Arif Habib Limited.
AMBL	Apna Microfinance Bank Limited.
AMSL	Al-Mal Securities & Services L [ DEFAULTER SEGMENT ]
BIPLS	BIPL Securities Ltd. (XD)
CASH	Calcorp Limited
CYAN	Cyan Limited.
DAWH	Dawood Hercules Corporation Ltd.
DEL	Dawood Equities Ltd.
DLL	Dawood Lawrencepur Ltd.
EFGH	EFG Hermes Pakistan Ltd.
ESBL	Escorts Investment Bank Ltd.
ESBLR	Escorts Investment Bank Ltd.(R)
FCEL	First Capital Equities Ltd. [ DEFAULTER SEGMENT ]
FCIBL	First Credit & Investment Bank Ltd.
FCSC	First Capital Sec.Corp. Ltd.
FDIBL	First Dawood Investment Bank Ltd.
FNEL	First National Equities Limited.
ICIBL	Invest Capital Investment Bank Ltd.
IML	Imperial Limited
JSCL	Jahangir Siddiqui & Company Ltd.
JSCLPSA	Jahangir Siddiqui & Co. (Non-V Preferen)
JSGCL	JS Global Capital Limited.
JSIL	JS Investments Limited.
MCBAH	MCB-Arif Habib Savings & Invest Ltd.
NEXT	Next Capital Limited.
OLPL	OLP Financial Services Pakistan Limited
PASL	Pervez Ahmed Consultancy Services Ltd. [ DEFAULTER SEGMENT ]
PDGH	Prudential Discount & Guarante [ DEFAULTER SEGMENT ]
PRIB	Prudential Investment Bank [ DEFAULTER SEGMENT ]
PSX	Pakistan Stock Exchange Limited.
SIBL	Security Investment Bank Ltd.
TRIBL	Trust Investment Bank Ltd. [ DEFAULTER SEGMENT ]
TSBL	Trust Securities & Brokerage.
TSBLR	Trust Securities & Brokerage.(R)
CJPL	Crescent Jute Products Ltd. [ DEFAULTER SEGMENT ]
SUHJ	Sohail Jute Mills Ltd. [ DEFAULTER SEGMENT ]
ENGL	English Leasing [ DEFAULTER SEGMENT ]
GRYL	Grays Leasing Ltd.
PGLC	Pak Gulf Leasing Co Ltd.
PICL	Pakistan Industrial & Comm.Lea. [ DEFAULTER SEGMENT ]
SLCL	Security Leasing Corp. [ DEFAULTER SEGMENT ]
SLCPA	Security Leasing Corp (Pref) 9.1%
SLL	SME Leasing Ltd.
SPLC	Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ]
SPLCTFC3	Saudi Pak Leasing Co.Ltd [ DEFAULTER SEGMENT ]
BATA	Bata Pakistan Ltd.
FIL	Fateh Industries Ltd. [ DEFAULTER SEGMENT ]
LEUL	Leather Up Ltd.
PAKL	Pak Leather Crafts Ltd. [ DEFAULTER SEGMENT ]
SGF	Service Global Footwear Limited
SRVI	Service Industries.
AKDHL	AKD Hospitality Limited
AKGL	Al-Khair Gadoon Ltd.
ARPAK	Arpak International Investment.
DCTL	Dadabhoy Construction Technology Ltd. [ DEFAULTER SEGMENT ]
DIIL	Dimond Industries Ltd. [ DEFAULTER SEGMENT ]
ECOP	ECOPAK Limited.
GAMON	Gammon Pak.
GOC	GOC (PAK) Limited.
HACC	Hashimi Can Co Ltd. [ DEFAULTER SEGMENT ]
HADC	Hayderi Construction. [ DEFAULTER SEGMENT ]
MACFL	MACPAC Films Limited.
MWMP	Mandviwala Mauser Plastic Ind. Ltd. [ DEFAULTER SEGMENT ]
OML	Olympia Mills Limited.
PABC	Pakistan Aluminium Beverage Cans Ltd
PACE	Pace (Pakistan) Ltd.
PHDL	Pakistan Hotels Developers Ltd.
PSEL	Pakistan Services Limited.
SHFA	Shifa Int. Hospital Ltd.
SPEL	Synthetic Products Ent. Ltd.
STPL	Siddiqsons Tin Plate Ltd.
TPLP	TPL Properties Limited.
TRIPF	Tri-Pack Films Ltd. (XD)
UBDL	United Brands Limited.
UDPL	United Distributors Pakistan.
ARM	Allied Rental Modaraba.
AWWAL	Awwal Modaraba.
BFMOD	B.F.Modaraba.
BRR	B.R.R. Guardian Modaraba.
FANM	First Al-Noor Mod.
FCONM	First Constellation Modaraba.
FECM	First Elite Capital Mod.
FEM	First Equity Mod.
FFLM	First Fidelity Leasing Mod.
FHAM	First Habib Mod.
FIBLM	First IBL Modaraba.
FIM	First Investec Modarba [ DEFAULTER SEGMENT ]
FIMM	First Imrooz Mod.
FNBM	First National Bank Modaraba. [ DEFAULTER SEGMENT ]
FPJM	First Punjab Mod.
FPRM	First Paramount Mod.
FTMM	First Treet Manufacturing Modaraba.
FTSM	First Tri-Star Mod.
FUDLM	First UDL Mod.
HMM	Habib Metro Modaraba.
KASBM	KASB Modaraba.
MODAM	Modarba Al-Mali.
OLPM	OLP Modaraba.
ORM	Orient Rental Modaraba.
PAKMI	First Pak Mod.
PIM	Popular Islamic Madaraba
PMI	First Prudential Mod.
SINDM	Sindh Modaraba.
TRSM	Trust Mod.
UCAPM	Unicap Modaraba.
MARI	Mari Petroleum Company Ltd.
OGDC	Oil & Gas Development Company Ltd.
POL	Pakistan Oilfields Limited.
PPL	Pakistan Petroleum Limited.
APL	Attock Petroleum Limited.
BPL	Burshane LPG (Pakistan) Limited.
HASCOL	Hascol Petroleum Ltd. [ DEFAULTER SEGMENT ]
HASCOLR1	Hascol Petroleum Ltd.(R)
HTL	Hi-Tech Lubricants Limited.
OBOY	Oilboy Energy Limited (XR)
PSO	Pakistan State Oil Co Ltd.
SHEL	Shell Pakistan Ltd.
SNGP	Sui Northern Gas Pipe Line Ltd.
SSGC	Sui Southern Gas Co Ltd.
ABSON	Abson Industries Limited [ DEFAULTER SEGMENT ]
CEPB	Century Paper & Board Mills.
CPPL	Cherat Packaging Limited.
DBSL	Dadabhoy Sack Ltd. [ DEFAULTER SEGMENT ]
GEMPAPL	Pak Agro Packaging Limited
MERIT	Merit Packaging Ltd.
PKGS	Packages Ltd.
PPP	Pakistan Paper Products Ltd.
RPL	Roshan Packages Limited.
SEPL	Security Papers Ltd.
ABOT	Abbott Laboratories Pak Ltd. (XD)
AGP	AGP Limited. (XD)
CPHL	Citi Pharma Limited
FEROZ	Ferozsons Laboratories Ltd.
GLAXO	Glaxo SmithKline Pakistan Ltd. (XD)
GSKCH	Glaxo SmithKline Healthcare Pak Ltd.
HINOON	Highnoon Laboratories Ltd. (XD)(XB)
IBLHL	IBL HealthCare Limited.
MACTER	Macter International Limited.
OTSU	Otsuka Pakistan Ltd.
SAPL	Sanofi-Aventis Pakistan Ltd. (XD)
SEARL	The Searle Company Ltd.
WYETH	Wyeth Pakistan Limited.(XD)
AEL	Arshad Energy Limited. [ DEFAULTER SEGMENT ]
ALTN	Altern Energy Ltd.
EPQL	Engro Powergen Qadirpur Ltd.
HUBC	Hub Power Company Limited.
JPGL	Japan Power Generation Ltd. [ DEFAULTER SEGMENT ]
KAPCO	Kot Addu Power Company.
KEL	K-Electric Limited.
KOHE	Kohinoor Energy Ltd.
KOHP	Kohinoor Power Co Ltd.
LPL	LALPIR Power Limited.
NCPL	Nishat Chunian Power Ltd.
NPL	Nishat Power Limited.
PKGP	Pakgen Power Limited.
SEL	Sitara Enengy Ltd.
SGPL	S. G. Power Ltd.
SPWL	Saif Power Ltd.
TSPL	Tri -Star Power Ltd.
DCR	Dolmen City REIT.
ATRL	Attock Refinery Limited.
CNERGY	Cnergyico PK Limited.
NRL	National Refinary Ltd.
PRL	Pakistan Refinery Ltd.
BKTI-APR	Stock Index Future Contract
BKTI-JUN	Stock Index Future Contract
BKTI-MAR	Stock Index Future Contract
BKTI-MAY	Stock Index Future Contract
BKTI-OCT	Stock Index Future Contract
KSE30-APR	Stock Index Future Contract
KSE30-JUN	Stock Index Future Contract
KSE30-MAR	Stock Index Future Contract
KSE30-MAY	Stock Index Future Contract
KSE30-OCT	Stock Index Future Contract
OGTI-APR	Stock Index Future Contract
OGTI-JUN	Stock Index Future Contract
OGTI-MAR	Stock Index Future Contract
OGTI-MAY	Stock Index Future Contract
OGTI-OCT	Stock Index Future Contract
AABS	Al-Abbas Sugar Mills Ltd.
ADAMS	Adam Sugar Mills Limited.
AGSML	Abdullah Shah Ghazi Sugar Mills Ltd.
ALNRS	Al-Noor Sugar Mills Ltd.
ANSM	Ansari Sugar Mills Ltd. [ DEFAULTER SEGMENT ]
BAFS	Baba Faried Sugar Mills Ltd.
CHAS	Chashma Sugar Mills Ltd.
DWSM	Dewan Sugar Mills Ltd. [ DEFAULTER SEGMENT ]
FRSM	Faran Sugar Mills Ltd.
HABSM	Habib Sugar Mills Ltd.
HRPL	Habib Rice Product Ltd.
HSM	Husein Sugar Mills Limited.
HSMCPS	Husein Sugar Mills Limited.(Pref-Shar)
HWQS	Haseeb Waqas Sugar Mills Limit [ DEFAULTER SEGMENT ]
JDWS	J. D. W. Sugar Mills Ltd.
JSML	Jauharabad Sugar Mills Ltd.
KPUS	Khairpur Sugar Mills Ltd.
MIRKS	Mirpurkhas Sugar Mills Ltd.
MRNS	Mehran Sugar Mills Ltd.
NONS	Noon Sugar Mills Ltd.
PMRS	Premier Sugar Mills & Distille
SANSM	Sanghar Sugar Mills Ltd.
SASML	Sindh Abadgars Sugar Mills Ltd.
SHJS	Shahtaj Sugar Mills Ltd.
SHSML	Shahmurad Sugar Mills Ltd.
SKRS	Sakrand Sugar Mills Ltd. [ DEFAULTER SEGMENT ]
SML	Shakarganj Limited.
TICL	Thal Industries Corporation Ltd.
TSML	Tandliawala Sugar Mills Ltd.
AASM	Al-Abid Silk Mills Limited. [ DEFAULTER SEGMENT ]
DSFL	Dewan Sulman Fibre Ltd. [ DEFAULTER SEGMENT ]
GATI	Gatron (Industries) Ltd.
IBFL	Ibrahim Fibre Limited.
IMAGE	Image Pakistan Limited
NAFL	National Fibres Ltd. [ DEFAULTER SEGMENT ]
NSRM	The National Silk & Rayon Mills Ltd.
PSYL	Pakistan Synthetics Ltd.
RUPL	Rupali Polyester Ltd.
SGABL	S.G. Allied Businesses Limited
AIRLINK	Air Link Communication Limited
AVN	Avanceon Limited.
HCL	Hallmark Company Limited.
HUMNL	Hum Network Limited.
MDTL	Media Times Limited.
NETSOL	NetSol Technologies Ltd.
OCTOPUS	Octopus Digital Limited
PAKD	Pak Datacom Limited.
PTC	Pakistan Telecommunication Co.
SYS	Systems Limited.(XD)(XB)
TELE	Telecard Ltd.
TPL	TPL CORP Limited.
TPLT	TPL Trakker Limited.
TRG	TRG Pakistan Ltd.
WTL	Worldcall Telecom Ltd.
AIRLINK	Air Link Communication Limited
AVN	Avanceon Limited.
HCL	Hallmark Company Limited.
HUMNL	Hum Network Limited.
MDTL	Media Times Limited.
NETSOL	NetSol Technologies Ltd.
OCTOPUS	Octopus Digital Limited
PAKD	Pak Datacom Limited.
PTC	Pakistan Telecommunication Co.
SYS	Systems Limited.(XD)(XB)
TELE	Telecard Ltd.
TPL	TPL CORP Limited.
TPLT	TPL Trakker Limited.
TRG	TRG Pakistan Ltd.
WTL	Worldcall Telecom Ltd.
ADMM	Artistic Denim Mills Limited.
AHTM	Ahmed Hassan Textile Mills Ltd.
ANL	Azgard Nine Limited.
ANLNV	Azgard Nine. (Non-Voting).
ANLNVR	Azgard Nine. (Non-Voting).(R)
ANLPS	Azgard Nine (Pref)
ANLR	Azgard Nine Limited.(R)
ANTM	AN Textile Mills Ltd.
ARUJ	Aruj Industries Limited.
BHAT	Bhanero Textile Mills Ltd.
BTL	Blessed Textile Ltd.
CHBL	Chenab Limited [ DEFAULTER SEGMENT ]
CLCPS	Chenab Limited Preference Shares. [ DEFAULTER SEGMENT ]
CRTM	Crescent Textile Mills Ltd.
FASM	Faisal Spinning Mills Ltd.
FML	Feroze1888 Mills Ltd.
FSWL	Fateh Sports Wear Ltd. [ DEFAULTER SEGMENT ]
FTHM	Fateh Textile Mills Ltd. [ DEFAULTER SEGMENT ]
FZCM	Fazal Cloth Mills Ltd.
GATM	Gul Ahmed Textile Mills Ltd.
GFIL	Ghazi Fabrics International Ltd.
HAEL	Hala Enterprises Limited
HAFL	Hafiz Limited.
HATM	Hamid Textile Mills Limited [ DEFAULTER SEGMENT ]
HUSI	Husein Industries
ILP	Interloop Limited.
INKL	International Knitwear Ltd.
JUBS	Jubilee Spinning & Weaving Mil [ DEFAULTER SEGMENT ]
KAKL	Kaisar Arts & Krafts Ltd. [ DEFAULTER SEGMENT ]
KHYT	Khyber Textile Mills Ltd.
KML	Kohinoor Mills Ltd.
KOIL	Kohinoor Industries Ltd.
KTML	Kohinoor Textile Mills Ltd.
MEHT	Mehmood Textile Mills Ltd.
MFTM	Mohammed Farooq Textile Mills [ DEFAULTER SEGMENT ]
MSOT	Masood Textile Mills Ltd.
MSOTPS	Masood Textile Mills Ltd.(PS).
MUBT	Mubarak Textile Mills Ltd. [ DEFAULTER SEGMENT ]
NCL	Nishat (Chunia) Ltd.
NINA	M/S Nina Industries Ltd. [ DEFAULTER SEGMENT ]
NML	Nishat Mills Ltd.
PASM	Paramount Spinning Mills. [ DEFAULTER SEGMENT ]
QUET	Quetta Textile Mills Ltd.
REDCO	Redco Textile Ltd.
REWM	Reliance Weaving Mills Ltd.
SAPT	Sapphire Textile Mills Ltd.
SCHT	Schon Textile Ltd. [ DEFAULTER SEGMENT ]
SFAT	Safa Textiles Ltd. [ DEFAULTER SEGMENT ]
SFL	Sapphire Fibres Mills Ltd.
STML	Shams Textile Mills Ltd.
SURC	Suraj Cotton Mills Ltd.
TAJT	Taj Textile Mills Ltd. [ DEFAULTER SEGMENT ]
TOWL	Towellers Ltd.
USMT	Usman Textile Mills Ltd. [ DEFAULTER SEGMENT ]
ZAHID	Zahidjee Textile Mills Ltd.
ZHCM	Zahur Cotton Mills [ DEFAULTER SEGMENT ]
AAL	Agro Allianz limited.
AATM	Ali Asghar Textile Mills Ltd. [ DEFAULTER SEGMENT ]
AMTEX	Amtex Limited. [ DEFAULTER SEGMENT ]
ANNT	Annor Textile Mills Ltd. [ DEFAULTER SEGMENT ]
APOT	Apollo Textile Mills Ltd. [ DEFAULTER SEGMENT ]
ASTM	Asim Textile Mills Ltd.
AWTX	Allawasaya Tex. & Finishing Mills.
AZMT	Azmat Textile Mills Ltd. [ DEFAULTER SEGMENT ]
BCML	Babri Cotton Mills Ltd.
BILF	Bilal Fibres Ltd. [ DEFAULTER SEGMENT ]
CCM	Crescent Cotton Mills Limited.
CFL	Crescent Fibres Limited.
CTM	Colony Textile Mills Ltd.
CWSM	Chakwal Spinning Mills Limited. [ DEFAULTER SEGMENT ]
DATM	Data Textile Ltd. [ DEFAULTER SEGMENT ]
DFSM	Dewan Farooque Spinning Mills Ltd.
DINT	Din Textile Mills Ltd.
DKTM	Dewan Khalid Textile Mills Ltd. [ DEFAULTER SEGMENT ]
DMTM	Dewan Mushtaq Textile Mills Ltd. [ DEFAULTER SEGMENT ]
DMTX	D. M. Textile Mills Ltd. [ DEFAULTER SEGMENT ]
DSIL	D. S. Industries Ltd.
DSML	Dar-es-Salam Textile Mills Ltd [ DEFAULTER SEGMENT ]
DWTM	Dewan Textile Mills Ltd. [ DEFAULTER SEGMENT ]
